Schedule,ID,Hash,Length,Rank,BreakTime,LocationConsistency,OpponentVariety,Sum,Origin,Mutations,Clones
25,2218733832224,-1740689897355435722,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=2)),0,0
26,2218733833232,2079920737325772320,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=1)),0,0
27,2218726290288,-1890347523528309616,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=3)),0,0
28,2218733833792,8505639254470498456,318,0,0.5343,0.6087,0.8796,2.0226,(C | RoundTypeCrossover),0,0
29,2218726290512,-6395877558722339895,318,0,0.5343,0.6087,0.8796,2.0226,(C | TimeSlotCrossover),0,0
30,2218733832896,-1596454359233869074,318,0,0.5343,0.6087,0.8796,2.0226,(C | LocationCrossover),0,0
31,2218726291072,-727064440477323077,318,0,0.5343,0.6087,0.8796,2.0226,(C | Uniform),0,0
32,2218726290960,4261284728305629669,318,0,0.5343,0.6087,0.8796,2.0226,(C | KPoint(k=1)),0,0
33,2218733832560,4050226033664257662,318,0,0.5343,0.6087,0.8796,2.0226,(C | Uniform),0,0
34,2218726290064,1846744809195609860,318,0,0.5343,0.6087,0.8796,2.0226,(C | Uniform),0,0
35,2218726292752,-5776151005461202835,318,1,0.7872,0.5812,0.8796,2.2480,(C | KPoint(k=1)),0,0
36,2218726291408,2609645597122305232,318,1,0.5779,0.5831,0.8796,2.0405,(C | KPoint(k=2)),0,0
37,2218726291184,3469173266341056985,318,1,0.5779,0.5831,0.8796,2.0405,(C | KPoint(k=3)),0,0
38,2218726291296,-1011328669220347643,318,1,0.5343,0.6087,0.8796,2.0225,(C | Scattered),0,0
39,2218726291744,-3099497618596979142,318,1,0.5343,0.6051,0.8796,2.0190,(C | TimeSlotCrossover),1,0
40,2218726291968,9200873299611741443,318,2,0.7872,0.5397,0.8796,2.2065,(C | KPoint(k=3)),1,0
41,2218733833120,4443886746089001786,318,2,0.5341,0.6087,0.8796,2.0224,(C | KPoint(k=3)),0,0
42,2218726292304,-7359012357150720479,318,2,0.5341,0.6087,0.8796,2.0224,(C | TimeSlotCrossover),0,0
43,2218733832336,-4734213798365127886,318,3,0.7867,0.5368,0.8796,2.2031,(C | KPoint(k=2)),1,0
44,2218733831328,-1324496637239775285,318,3,0.7868,0.5315,0.8796,2.1979,(C | Uniform),1,1
45,2218733831104,-1516551340058354760,318,3,0.7872,0.5267,0.8796,2.1935,(C | RoundTypeCrossover),0,0
46,2218726292976,7746447136384117892,318,3,0.7604,0.5393,0.8796,2.1793,(C | LocationCrossover),0,0
47,2218733830880,4530106730265698398,318,3,0.5182,0.5575,0.8796,1.9552,(C | Uniform),0,0
48,2218733831664,-4683879651446871597,318,4,0.7872,0.4900,0.8796,2.1567,(C | KPoint(k=1)),0,0
49,2218726293312,-2559016569849565298,318,4,0.7048,0.5126,0.8796,2.0970,(C | Uniform),1,0
50,2218726290624,4244829927373267517,318,4,0.5655,0.5390,0.8796,1.9840,(C | Scattered),1,1
51,2218726291856,-7851770485761797081,318,4,0.5655,0.5390,0.8796,1.9840,(C | TimeSlotCrossover),0,0
52,2218733833456,-9140321365842258575,318,4,0.5686,0.5267,0.8796,1.9749,(C | Uniform),0,0
53,2218726292080,1518558539344470351,318,4,0.5064,0.5575,0.8796,1.9435,(C | LocationCrossover),1,0
54,2218733833680,-7699247070800185464,318,5,0.5686,0.4900,0.8796,1.9381,(C | Uniform),1,1
55,2218726291520,-8231749369864274440,318,5,0.4970,0.5575,0.8796,1.9340,(C | Scattered),0,0
56,2218733832448,-5931613458940999945,318,6,0.4575,0.4766,0.8796,1.8137,(C | LocationCrossover),0,0
57,2218726292640,3872104863648360301,318,7,0.3941,0.4564,0.8698,1.7203,(C | LocationCrossover),0,0
58,2218733832784,-4827011307683845852,318,8,0.3565,0.3828,0.8631,1.6024,(C | RoundTypeCrossover),0,0
59,2218726290848,-3501315270847046792,318,8,0.2924,0.4117,0.8698,1.5739,Builder,0,0
60,2218726290176,55532666179198719,318,8,0.2992,0.3998,0.8531,1.5520,Builder,0,0
61,2218726293200,-1679342956578432424,318,8,0.3203,0.3902,0.7469,1.4573,(C | TimeSlotCrossover),1,0
62,2218733831888,-1228904827875925583,318,9,0.2830,0.3526,0.8577,1.4932,Builder,0,0
63,2218726293088,2072096781234810766,318,9,0.3184,0.3867,0.7469,1.4520,Builder,0,0
64,2218733830768,-3940809367508351969,318,9,0.2930,0.3519,0.7538,1.3988,Builder,0,0
